date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:55:52	1292/1292	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202020%2022:55:53%20GMT	http://em.logosny.org/%22http:////em.logosny.org//im-new//connect-with-us/%22	C:/My%20Web%20Sites/logosny/em.logosny.org/_http_/em.logosny.org/im-new/connect-with-us/_.html	(from http://em.logosny.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fem.logosny.org%2Fim-new%2Fconnect-with-us)
17:55:53	1292/1292	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202020%2022:55:54%20GMT	http://em.logosny.org/%22http:////em.logosny.org//connect/%22	C:/My%20Web%20Sites/logosny/em.logosny.org/_http_/em.logosny.org/connect/_.html	(from http://em.logosny.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fem.logosny.org%2Fconnect)
17:55:54	1292/1292	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202020%2022:55:55%20GMT	http://em.logosny.org/%22http:////em.logosny.org//connect//fellowships/%22	C:/My%20Web%20Sites/logosny/em.logosny.org/_http_/em.logosny.org/connect/fellowships/_.html	(from http://em.logosny.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fem.logosny.org%2Fconnect%2Ffellowships)
17:55:56	594890/594890	UR-M--	200	added ('Partial%20Content')	image/png	date:Sun,%2012%20May%202019%2019:24:05%20GMT	http://em.logosny.org/wp-content/uploads/2016/10/Website-Banners.png	C:/My%20Web%20Sites/logosny/em.logosny.org/wp-content/uploads/2016/10/Website-Banners.png	(from http://em.logosny.org/im-new/children-and-youth)
17:55:57	422585/422585	UR-M--	200	added ('Partial%20Content')	image/png	date:Sun,%2012%20May%202019%2019:24:28%20GMT	http://em.logosny.org/wp-content/uploads/2016/10/Website-Banners-2-1.png	C:/My%20Web%20Sites/logosny/em.logosny.org/wp-content/uploads/2016/10/Website-Banners-2-1.png	(from http://em.logosny.org/im-new/times-and-location)
17:55:57	1292/1292	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202020%2022:55:57%20GMT	http://em.logosny.org/%22http:////em.logosny.org//connect//basketball/%22	C:/My%20Web%20Sites/logosny/em.logosny.org/_http_/em.logosny.org/connect/basketball/_.html	(from http://em.logosny.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fem.logosny.org%2Fconnect%2Fbasketball)
17:55:59	1292/1292	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202020%2022:55:58%20GMT	http://em.logosny.org/%22http:////em.logosny.org//connect//calendar/%22	C:/My%20Web%20Sites/logosny/em.logosny.org/_http_/em.logosny.org/connect/calendar/_.html	(from http://em.logosny.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fem.logosny.org%2Fconnect%2Fcalendar)
17:55:59	532761/532761	UR-M--	200	added ('Partial%20Content')	image/png	date:Sun,%2012%20May%202019%2019:23:51%20GMT	http://em.logosny.org/wp-content/uploads/2016/10/Website-Banners-6.png	C:/My%20Web%20Sites/logosny/em.logosny.org/wp-content/uploads/2016/10/Website-Banners-6.png	(from http://em.logosny.org/im-new/find-a-fellowship)
17:56:01	1292/1292	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202020%2022:56:00%20GMT	http://em.logosny.org/%22http:////em.logosny.org//connect//connect-with-us/%22	C:/My%20Web%20Sites/logosny/em.logosny.org/_http_/em.logosny.org/connect/connect-with-us/_.html	(from http://em.logosny.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fem.logosny.org%2Fconnect%2Fconnect-with-us)
17:56:03	1292/1292	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202020%2022:56:02%20GMT	http://em.logosny.org/%22http:////em.logosny.org//ministries/%22	C:/My%20Web%20Sites/logosny/em.logosny.org/_http_/em.logosny.org/ministries/_.html	(from http://em.logosny.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fem.logosny.org%2Fministries)
